"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This test will get the information of all the student","ERROR","2022-01-11T21:49:37.889Z[Europe/London]","0.0","5.39"
"First serenity test","This is manual","PENDING","2022-01-11T21:49:43.316Z[Europe/London]","0.0","0.0"
"First serenity test","This is compromised","ERROR","2022-01-11T21:49:43.321Z[Europe/London]","0.0","0.0"
"First serenity test","This is a skipped","IGNORED","2022-01-11T21:49:43.329Z[Europe/London]","0.0","0.0"
"First serenity test","This is a test with error","ERROR","2022-01-11T21:49:43.334Z[Europe/London]","0.0","0.01"
"First serenity test","This is a pending","PENDING","2022-01-11T21:49:43.341Z[Europe/London]","0.0","0.0"
"First serenity test","Get all students","ERROR","2022-01-11T21:49:43.345Z[Europe/London]","0.0","4.11"
"Student CURD test","This will create a new student","ERROR","2022-01-11T21:49:49.142Z[Europe/London]","0.0","4.73"
"Student CURD test","Verify if the student was added to the application","ERROR","2022-01-11T21:49:53.874Z[Europe/London]","0.0","5.67"
"Student CURD test","Update the user information and verify the update information","ERROR","2022-01-11T21:49:59.642Z[Europe/London]","0.0","4.13"
"Student CURD test","Delete the student and verify if the student is deleted!","ERROR","2022-01-11T21:50:03.771Z[Europe/London]","0.0","4.1"
"Student CURD test with steps","This will create a new student","ERROR","2022-01-11T21:50:08.031Z[Europe/London]","0.0","4.15"
"Student CURD test with steps","Verify if the student was added to the application","ERROR","2022-01-11T21:50:12.179Z[Europe/London]","0.0","4.13"
"Student CURD test with steps","Update the user information and verify the updated information","ERROR","2022-01-11T21:50:16.310Z[Europe/London]","0.0","4.11"
"Student CURD test with steps","Delete the student and verify if the student is deleted!","ERROR","2022-01-11T21:50:20.424Z[Europe/London]","0.0","4.12"
